Id	Folio	Evento	Periodo	Minutos	Vuelta	Segundos	Etapa	Bin1	Bin2	Bin3	Bin4	Bin5	Bin6	Rc1	Rc2	Rc3	Rc4	Rc5	Rc6	Calificacion	Seccion	Resultado	Inicio	Salida	Termino
11	370321	comipems-15	1516	35	24	6	7	1111111111	1111011111	1101111011	1001000110	1011000011	1001101000	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15 What@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23 daughter@24is it@25 It@26 There is@27 Are there@28 going@29 dance@30 likes	@31 don@32 don@33 don@34 Do@35 Does...play@36 do...teach@37 doing@38 is not taking@39 are...doing@40 wasn	@41 Was@42 was@43 ate@44 wrote@45 can@46 don@47 can@48does@49did....go@50are going to visit	@51 Are ... going to take@52 most attractive@53 more pretty @54 as quiet as@55 tallest@56 will be@57 hasn@58 will travel@59 never@60 any	66.1	B	Pre-Intermedio	2015-07-29 22:39:05	2015-07-29 23:01:21	S
12	379111	comipems-15	1516	58	1	50	7	1111101110	1101110010	0111011111	0100001101	1110010001	0000010000	@1 am@2 is@3 are@4 Is@5 Are@6 Be@7 an@8 a@9 an@10 not be	@11 am not @12aren@13 What@14 What@15When@16 are@17 are@18 is@19 my@20 her	@21 Her@22 parents@23sister@24is it@25 Is@26 There is@27 Are there@28 go@29 dance@30 likes	@31 am not@32 doesn@33 don@34 Are@35 Does...play@36 do...teach@37 am doing@38 is not taking@39 did...do@40 weren	@41 Was@42 were@43 ate@44 are writing@45 can@46 didn@47 can@48do@49does....go@50are going to visit	@51 Are ... going taking@52 the most attractive@53 more pretty @54 as quiet @55 as tall@56 have been @57 didn@58 will travel@59 after@60 nothing	52.54	A+	Básico	2015-07-29 22:37:57	2015-07-29 23:17:10	S
13	406896	comipems-15	1516	59	0	27	7	1111111111	1111111111	1111111011	1110001111	1111001001	1000000000	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 going@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Are@35 Does...plays@36 do...teach@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 don@46 don@47 didn@48does@49is...going@50are going to visit	@51 Are ... going to take@52 most attractive@53 more pretty @54 as quiet @55 taller than@56 will be@57 doesn@58 traveled@59 after@60 nothing	71.19	B	Pre-Intermedio	2015-07-29 22:39:01	2015-07-29 23:06:27	S
14	333784	comipems-15	1516	44	15	18	7	1111111111	1111111111	1111111111	1111101111	1111111111	1110111000	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 go@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Do...play@36 does...teaches@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 didn@46 didn@47 didn@48did@49did....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 prettier @54 so quiet that@55 tallest@56 have been @57 hasn@58 traveled@59 never@60 any	91.53	B	Pre-Intermedio	2015-07-29 23:43:45	2015-07-29 23:58:05	S
15	339984	comipems-15	1516	41	18	57	7	1111111111	1111110111	1111011111	1011000111	0011000001	0000110000	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 are@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 Is it@26 There is@27 Are there@28 go@29 dance@30 likes	@31 don@32 don@33 doesn@34 Do@35 Does...plays@36 does...teaches@37 can do@38 is not taking@39 are...doing@40 weren	@41 Did@42 are@43 ate@44 wrote@45 don@46 can@47 can@48do@49does....go@50are going to visit	@51 Are ... going taking@52 most attractive@53 more pretty @54 so quiet that@55 tallest@56 have been @57 doesn@58 are traveling@59 after@60 any	64.41	B	Pre-Intermedio	2015-07-29 22:40:40	2015-07-29 23:36:48	S
16	404919	comipems-15	1516	37	22	2	7	1111110101	1101001111	1110111100	0000001001	1000000000	1000000100	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 a@8 a@9 a@10 isn	@11 am not @12aren@13 Where@14 What@15 Where@16 is@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24it@25 It@26 There is@27 Are there@28 go@29 dancing@30 like	@31 am not@32 isn@33 don@34 Are@35 Do...plays@36 do...teach@37 am doing@38 not taking@39 did...do@40 weren	@41 Was@42 are@43 eats@44 are writing@45 don@46 can@47 won@48do@49is...going@50 visiting	@51 Are ... going to take@52 as attractive@53 more pretty @54 so quiet that@55 taller@56 are@57 doesn@58 have traveled@59 after@60 nothing	44.07	A+	Básico	2015-07-29 22:38:26	2015-07-29 23:00:42	S
17	399382	comipems-15	1516	45	14	31	7	1110001000	1100011110	1101010110	0010001010	0000010001	0000000000	@1 am@2 is@3 are@4 Am@5 Is@6Is@7 an@8 an@9 a@10 not	@11 am not @12aren@13 What@14 Who@15 What@16 are@17 is@18 are@19 my@20 her	@21 Their@22 parents@23 daughter@24is it@25 Is@26 There is@27 There are@28 go@29 dance@30 to like	@31 am not@32 isn@33 doesn@34 Are@35 Does...play@36 do...teach@37 am doing@38 does not take@39 are...doing@40 don	@41 Is@42 are@43 eat@44 are writing@45 can@46 didn@47 can@48does@49is...going@50are going to visit	@51 Are ... going taking@52 the most attractive@53 more pretty @54 as quiet @55 taller than@56 can be@57 isn@58 traveled@59 after@60 nothing	33.9	A	Introductorio	2015-07-29 22:38:40	2015-07-29 22:51:29	S
18	329435	comipems-15	1516	43	16	34	7	1111111111	1111011111	0111100100	0010110010	0001001001	0001101000	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15 How@16 are@17 is@18 are@19 my@20 his	@21 Her@22 parents@23sister@24is it@25 It@26 There are@27 There are@28 go@29 dancing@30 to like	@31 am not@32 don@33 doesn@34 Are@35 Do...play@36 does...teach@37 do@38 not take@39 are...doing@40 don	@41 Were@42 are@43 eating@44 wrote@45 don@46 can@47 didn@48are@49is...going@50are going to visit	@51 Did ... take@52 the most attractive@53 more pretty @54 as quiet as@55 tallest@56 are@57 hasn@58 traveled@59 never@60 any	55.93	A+	Básico	2015-07-29 22:39:01	2015-07-29 22:53:38	S
19	316396	comipems-15	1516	46	13	43	7	1111111111	1111111111	1111110111	1111111111	1111101111	1111111111	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 There are@28 go@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Do...play@36 does...teach@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 didn@46 don@47 didn@48did@49did....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 prettier @54 as quiet as@55 tallest@56 have been @57 hasn@58 have traveled@59 yet@60 no	96.61	B+	Pre-Intermedio	2015-07-29 22:38:31	2015-07-29 22:50:54	S
20	377616	comipems-15	1516	52	7	9	7	1111111101	1111111111	1111111111	1111011111	1111111111	0111111111	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 a@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 go@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Does...play@36 does...teach@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 didn@46 didn@47 didn@48did@49did....go@50are going to visit	@51 Are ... going taking@52 more attractive@53 prettier @54 as quiet as@55 tallest@56 have been @57 hasn@58 have traveled@59 yet@60 no	94.92	B+	Pre-Intermedio	2015-07-29 22:37:28	2015-07-29 22:45:11	S
21	363018	comipems-15	1516	47	12	3	7	1110100000	1001000100	0100111100	1001100100	0000010001	0100000000	@1 am@2 is@3 are@4 Be@5 Are@6Is@7 one@8 one@9 any@10 not be	@11 am not @12not@13 What@14 What@15 What@16 is@17 are@18 are@19 mine@20 her	@21 Its@22 parents@23 brother@24it@25 It@26 There is@27 Are there@28 go@29 dancing@30 to like	@31 don@32 don@33 don@34 Do@35 Do...play@36 do...teach@37 can do@38 is not taking@39 will...doing@40 don	@41 Is@42 are@43 eat@44 write@45 don@46 didn@47 won@48are@49is...going@50are going to visit	@51 Are ... going taking@52 more attractive@53 more pretty @54 so quiet that@55 as tall@56 will be@57 didn@58 are traveling@59 after@60 nothing	30.51	A	Introductorio	2015-07-29 22:38:09	2015-07-29 22:49:43	S
22	391458	comipems-15	1516	50	9	7	7	1111111111	1111111111	1111111111	1111101111	1111111111	1101111010	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 go@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Do...play@36 does...teaches@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 didn@46 didn@47 didn@48did@49did....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 more pretty @54 as quiet as@55 tallest@56 have been @57 hasn@58 traveled@59 yet@60 any	93.22	B+	Pre-Intermedio	2015-07-29 22:37:57	2015-07-29 22:46:48	S
23	340151	comipems-15	1516	45	14	9	7	1111100011	1011110111	0110101101	1111000010	0000000000	0000000000	@1 am@2 is@3 are@4 Is@5 Are@6Is@7 one@8 one@9 an@10 isn	@11 am not @12not be@13 Who@14 What@15When@16 are@17 be@18 are@19 my@20 his	@21 Her@22 parents@23sister@24it@25 It@26 There are@27 Are there@28 go@29 dancing@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Does...plays@36 does...teaches@37 do@38 does not take@39 are...doing@40 wasn	@41 Is@42 was@43 eat@44 write@45 don@46 don@47 can@48do@49does....go@50 visit	@51 Did ... take@52 most attractive@53 more pretty @54 so quiet that@55 taller than@56 will be@57 doesn@58 will travel@59 after@60 nothing	42.37	B	Pre-Intermedio	2015-07-29 22:38:57	2015-07-29 22:51:54	S
24	413489	comipems-15	1516	43	16	31	7	1111111111	1011111111	1111110111	1111001111	0111110001	1110110110	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12not be@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Is there@28 go@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Do...plays@36 does...teaches@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Is@42 were@43 ate@44 wrote@45 didn@46 didn@47 can@48does@49does....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 prettier @54 quiet enough@55 tallest@56 have been @57 didn@58 have traveled@59 yet@60 any	81.36	B	Pre-Intermedio	2015-07-29 22:39:01	2015-07-29 22:53:12	S
25	430258	comipems-15	1516	42	17	32	7	1111011111	1111111111	1111111011	1110011110	0000000001	0000000000	@1 am@2 is@3 are@4 Is@5 Is@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 goes@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Are@35 Do...plays@36 does...teach@37 am doing@38 is not taking@39 are...doing@40 didn	@41 Is@42 are@43 eat@44 write@45 don@46 don@47 can@48are@49is...going@50are going to visit	@51 Did ... take@52 the most attractive@53 more pretty @54 as quiet @55 taller@56 will be@57 isn@58 are traveling@59 never@60 any	59.32	B	Pre-Intermedio	2015-07-29 22:38:19	2015-07-29 22:54:41	S
26	392214	comipems-15	1516	48	11	12	7	1110111111	1101110111	1111101010	1100100000	1101110110	0100110010	@1 am@2 is@3 are@4 Are@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 What@14 What@15When@16 are@17 are@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 Is@27 Are there@28 going@29 dance@30 	@31 don@32 doesn@33 don@34 Are@35 Do...play@36 does...teaches@37 doing@38 not take@39 did...do@40 wasn	@41 Was@42 were@43 eating@44 wrote@45 didn@46 didn@47 don@48did@49did....go@50 visit	@51 Did ... take@52 more attractive@53 more pretty @54 so quiet that@55 tallest@56 have been @57 didn@58 will travel@59 yet@60 nothing	62.71	B	Pre-Intermedio	2015-07-29 22:38:23	2015-07-29 22:48:55	S
27	311005	comipems-15	1516	30	0	60	0	-	-	-	-	-	-	0	0	0	0	0	0	-	-	-	2015-07-29 22:36:55	2015-07-29 22:36:55	N
28	401239	comipems-15	1516	47	12	59	7	1110000000	1000111010	0110000101	1100000011	0000000000	0000000000	@1 am@2 is@3 are@4 Am@5 Is@6 Be@7 a@8 an@9 a@10 not	@11 am not @12isn@13 What@14 Who@15When@16 are@17 is@18 is@19 my@20 my	@21 Her@22 parents@23sister@24it@25 Is it@26 They are@27 Is there@28 go@29 dancing@30 likes	@31 don@32 doesn@33 don@34 Does@35 Does...plays@36 do...teach@37 can do@38 not take@39 are...doing@40 weren	@41 Were@42 are@43 eat@44 are writing@45 don@46 don@47 can@48do@49do....go@50 visited	@51 Do ... like taking@52 most attractive@53 as pretty@54 as quiet @55 taller@56 are@57 doesn@58 are traveling@59 after@60 any	25.42	A	Introductorio	2015-07-29 22:39:36	2015-07-29 22:49:23	S
29	414937	comipems-15	1516	46	13	17	7	1111111111	1111111110	1111111011	1010010010	1111000110	1010100010	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 her	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 going@29 dance@30 likes	@31 don@32 don@33 doesn@34 Does@35 Does...plays@36 does...teach@37 do@38 not take@39 are...doing@40 don	@41 Was@42 were@43 ate@44 wrote@45 won@46 can@47 can@48did@49did....go@50 visiting	@51 Are ... going to take@52 most attractive@53 prettier @54 as quiet @55 tallest@56 will be@57 doesn@58 will travel@59 yet@60 any	69.49	B	Pre-Intermedio	2015-07-29 22:39:18	2015-07-29 22:52:09	S
30	418857	comipems-15	1516	45	14	37	7	1111111111	1111111111	1111111111	1111111111	0111111111	1111111010	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 go@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Do...play@36 does...teach@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Were@42 were@43 ate@44 wrote@45 didn@46 didn@47 didn@48did@49did....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 prettier @54 as quiet as@55 tallest@56 have been @57 hasn@58 traveled@59 yet@60 any	94.92	B+	Pre-Intermedio	2015-07-29 22:38:41	2015-07-29 22:52:00	S
31	404430	comipems-15	1516	38	21	28	7	1111111111	1111111111	1111111111	1111001111	1111101011	1111111110	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 go@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Does...plays@36 do...teach@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 didn@46 don@47 didn@48are@49did....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 prettier @54 as quiet as@55 tallest@56 have been @57 hasn@58 have traveled@59 yet@60 any	91.53	B+	Pre-Intermedio	2015-07-29 22:39:07	2015-07-29 22:59:10	S
32	351702	comipems-15	1516	59	0	13	7	1111111111	1111111111	1111111111	1111001111	1111010011	1111110010	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 go@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Does...play@36 does...teaches@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 can@46 didn@47 can@48does@49did....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 prettier @54 as quiet as@55 tallest@56 have been @57 doesn@58 traveled@59 yet@60 any	86.44	B+	Pre-Intermedio	2015-07-29 22:41:50	2015-07-29 23:09:59	S
33	312009	comipems-15	1516	42	17	53	7	1110111101	1100010100	0101111110	0010111111	1100000000	1100000100	@1 am@2 is@3 are@4 Are@5 Are@6Are@7 an@8 a@9 a@10 isn	@11 am not @12aren@13 What@14 When@15 Where@16 are@17 are@18 are@19 your@20 her	@21 Our@22 parents@23 brother@24is it@25 It@26 There is@27 Are there@28 go@29 dance@30 	@31 am not@32 don@33 doesn@34 Are@35 Do...play@36 does...teach@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 eating@44 are writing@45 can@46 don@47 can@48are@49does....go@50 visit	@51 Are ... going to take@52 more attractive@53 more pretty @54 so quiet that@55 as tall@56 are@57 isn@58 have traveled@59 never@60 nothing	50.85	A+	Básico	2015-07-29 22:39:29	2015-07-29 22:55:44	S
34	353806	comipems-15	1516	46	13	50	5	1111100010	0001111100	0100111010	1000000011	-	-	@1 am@2 is@3 are@4 Is@5 Are@6Is@7 one@8 one@9 an@10 not	@11 are not @12not@13 When@14 What@15When@16 are@17 is@18 are@19 your@20 its	@21 Its@22 parents@23 brother@24it@25 It@26 There is@27 Are there@28 to go@29 dance@30 like	@31 don@32 don@33 don@34 Are@35 Do...plays@36 do...teach@37 doing@38 not take@39 are...doing@40 weren	0	0	-	-	-	2015-07-29 22:40:22	2015-07-29 22:50:59	N
35	385755	comipems-15	1516	47	12	32	7	1111111111	1111111011	1111111110	1111111011	1111111101	1101110110	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 am@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 go@29 dance@30 like	@31 don@32 doesn@33 doesn@34 Do@35 Do...play@36 does...teach@37 am doing@38 does not take@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 didn@46 didn@47 didn@48did@49does....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 more pretty @54 as quiet as@55 tallest@56 have been @57 didn@58 have traveled@59 yet@60 any	88.14	B+	Pre-Intermedio	2015-07-29 22:38:40	2015-07-29 22:50:04	S
